Provinsi;Tingkat Pendidikan;Rata-rata Upah/Gaji Bersih
Aceh ;1,026089017;1670472
Sumatera Utara;1,437432358;1800964
Sumatera Barat;0,895248793;1656843
Riau ;0,707195538;2094333
Jambi;2,168865842;2116823
Sumatera Selatan;0,810988806;1879107
Bengkulu ;2,074672392;1644239
Lampung ;1,663856584;1609657
Kepulauan Bangka Belitung;2,330772305;2362600
Kepulauan Riau;1,289871404;2355801
DKI Jakarta;0,613521214;4201899
Jawa Barat;1,795184443;1951688
Jawa Tengah;4,010069152;1489425
DI Yogyakarta;3,107730701;1469717
Jawa Timur;4,321078641;1664599
Banten;2,000219583;2317192
Bali ;4,207353241;1967384
Nusa Tenggara Barat;6,556251125;1278749
Nusa Tenggara Timur;4,202948349;1035532
Kalimantan Barat;5,453483911;1805701
Kalimantan Tengah;1,111068209;2325737
Kalimantan Selatan;1,537663801;1809325
Kalimantan Timur;1,563302307;2615014
Kalimantan Utara;1,985934111;2112353
Sulawesi Utara;0,461589064;2134563
Sulawesi Tengah;2,7334067;1610005
Sulawesi Selatan;4,719705604;1961626
Sulawesi Tenggara;3,639737585;1813431
Gorontalo;2,664690636;1608048
Sulawesi Barat;5,339250818;1238649
Maluku;2,271533693;1471298
Maluku Utara;1,079628956;1806232
Papua Barat;3,547247626;2104890
Papua;25,54686072;2221291
