Provinsi;Tingkat Pendidikan;Rata-rata Upah/Gaji Bersih
1;1.02;1670472
2;1.43;1800964
3;0.89;1656843
4;0.7;2094333
5;2.17;2116823
6;0.81;1879107
7;2.07;1644239
8;1.66;1609657
9;2.33;2362600
10;1.29;2355801
11;0.61;4201899
12;1.79;1951688
13;4.01;1489425
14;3.1;1469717
15;4.32;1664599
16;2;2317192
17;4.21;1967384
18;6.56;1278749
19;4.2;1035532
20;5.45;1805701
21;1.11;2325737
22;1.54;1809325
23;1.56;2615014
24;1.99;2112353
25;0.46;2134563
26;2.73;1610005
27;4.72;1961626
28;3.63;1813431
29;2.66;1608048
30;5.33;1238649
31;2.27;1471298
32;1.07;1806232
33;3.54;2104890
34;25.54;2221291
